sku;short_description;adapt;regular_price
MHO5000-AUTOA;CAN/CAN-FD, LIN Bus Trigger and Decoding Option;MHO/DHO5000; 150 119 ? 
MHO5000-AWG;Built-in Dual-Channel 50MHz Function Signal Generator Option;MHO/DHO5000; 120 089 ? 
MHO5000-FlexA;FlexRay Trigger and Decoding Option;MHO/DHO5000; 150 119 ? 
MHO5000-PWRA;Power Analysis Option;MHO/DHO5000; 150 119 ? 
MHO5004-BND;MHO5004, 4-channel model bundle option, including all decoding options, power analysis options, and built-in signal source;MHO/DHO5000; 507 584 ? 
MHO5004-BWU05T10;500MHz to 1GHz Bandwidth Upgrade Option;MHO/DHO5000; 360 329 ? 
MHO5006-BND;MHO5006, 6-channel model Bundle option, including all decoding options and power analysis option;MHO/DHO5000; 447 894 ? 
MHO5006-BWU05T10;500MHz to 1GHz Bandwidth Upgrade Option;MHO/DHO5000; 690 659 ? 
MHO900-AEROA;MHO900, MIL-STD-1553 Bus Triggering and Decoding Analysis Option;MHO900, MIL-STD-1553 Bus Triggering and Decoding Analysis Option; 24 240 ? 
MHO900-AFG100;MHO900?2 Channel 100 MHz Arbitrary Function Generator Option, includes Bode-plot;MHO900?2 Channel 100 MHz Arbitrary Function Generator Option, includes Bode-plot; 123 169 ? 
MHO900-AFG50;MHO900?2 Channel 50 MHz Arbitrary Function Generator Option, includes Bode-plot;MHO900?2 Channel 50 MHz Arbitrary Function Generator Option, includes Bode-plot; 73 704 ? 
MHO900-AUDIOA;MHO900?I2S Audio-Bus Trigger and Analysis Option;MHO900?I2S Audio-Bus Trigger and Analysis Option; 24 240 ? 
MHO900-AUTOA;MHO900, Automotive Serial Bus CAN-FD Decoding and Analysis Option;MHO900, Automotive Serial Bus CAN-FD Decoding and Analysis Option; 24 240 ? 
MHO900-BND;MHO900, Functional Upgrade Package Option, includes: AFG100, AUDIOA, AUTOA, FlexA, AEROA;MHO900, Functional Upgrade Package Option, includes: AFG100, AUDIOA, AUTOA, FlexA, AEROA; 147 902 ? 
MHO900-BWU03T05;MHO900?350 MHz to 500 MHz Bandwidth Upgrade Option;MHO900?350 MHz to 500 MHz Bandwidth Upgrade Option; 48 972 ? 
MHO900-BWU03T08;MHO900?350 MHz to 800 MHz Bandwidth Upgrade Option;MHO900?350 MHz to 800 MHz Bandwidth Upgrade Option; 73 704 ? 
MHO900-BWU05T08;MHO900?500 MHz to 800 MHz Bandwidth Upgrade Option;MHO900?500 MHz to 800 MHz Bandwidth Upgrade Option; 48 972 ? 
MHO900-FlexA;MHO900, Flexray Bus Trigger and Decode Option;MHO900, Flexray Bus Trigger and Decode Option; 24 240 ? 
MHO900-RLU-05;MHO900, 500Mpts Memory Upgrade Option;MHO900, 500Mpts Memory Upgrade Option; 48 972 ? 
MSO5000-2RL;200 Mpts memory depth option;DS; 62 955 ? 
MSO5000-4CH;2CH update to 4CH;DS; 62 955 ? 
MSO5000-AERO;MIL-STD 1553 Serial Triggering and Analysis;DS; 47 216 ? 
MSO5000-AUDIO;Audio Serial Triggering and Analysis(I2S);DS; 47 216 ? 
MSO5000-AUTO;Automotive Serial Triggering and Analysis(CAN/LIN);DS; 47 216 ? 
MSO5000-AWG;Dual Channel WaveGen 25 MHz AWG;DS; 42 720 ? 
MSO5000-BND;Application Bundle Options?including all the serial protocol analysis software, measurement application option;DS; 112 420 ? 
MSO5000-BW0T1;BW 70MHz up to 100MHz;DS; 92 184 ? 
MSO5000-BW0T2;BW 70MHz up to 200MHz;DS; 222 592 ? 
MSO5000-BW0T3;BW 70MHz up to 350MHz;DS; 415 954 ? 
MSO5000-BW1T2;BW 100MHz up to 200MHz;DS; 191 114 ? 
MSO5000-BW1T3;BW 100MHz up to 350MHz;DS; 366 489 ? 
MSO5000-BW2T3;BW 200MHz up to 350MHz;DS; 206 853 ? 
MSO5000-COMP;Computer Serial Triggering and Analysis(RS232/UART);DS; 47 216 ? 
MSO5000-E-1RL;100Mpts Deep Memory Option;MSO5000-E; 40 471 ? 
MSO5000-E-AWG;25 MHz Arbitrary Waveform Generator;MSO5000-E; 26 981 ? 
MSO5000-E-BND;Application Bundle Options;MSO5000-E; 105 675 ? 
MSO5000-E-FPC;Front Panel Cover;MSO5000-E; 13 490 ? 
MSO5000-EMBD;Embedded Serial Triggering and Analysis(IIC, SPI);DS; 47 216 ? 
MSO5000-FLEX;FlexRay serial bus trigger and analysis (FlexRay);DS; 47 216 ? 
MSO5000-FPC;Front Panel Cover;DS; 13 490 ? 
MSO5000-PWR;Integrated Power Analysis;DS; 47 216 ? 
MSO5000-RM;Rack Mounting Kit;DS; 47 216 ? 
MSO7000-AWG;Dual Channel WaveGen 25 MHz AWG;MSO7000; 83 776 ? 
MSO8000A-BW15T20;1.5GHz to 2GHz bandwidth upgrade option;Digital Oscilloscope; 720 104 ? 
MSO8000A-BW20T30;MSO8000A series 2GHz to 3GHz bandwidth upgrade option;Digital Oscilloscope; 327 712 ? 
MSO8000A-BW7T15;MSO8000Aseries750MHzto1.5GHzbandwidthupgradeoption;Digital Oscilloscope; 510 972 ? 
MSO8000A-BW7T20;750MHz to 2GHz bandwidth upgrade option;Digital Oscilloscope; 666 204 ? 
MSO8000-AERO;MIL-STD 1553 Option;MSO8000; 165 458 ? 
MSO8000-AUDIO;I2S Analysis Option;MSO8000; 165 458 ? 
MSO8000-AUTO;CAN/LIN Option;MSO8000; 165 458 ? 
MSO8000-AWG;AWG Option;MSO8000; 117 286 ? 
MSO8000-BND;Application Bundle Options;MSO8000; 353 954 ? 
MSO8000-BW10T20;Bandwidth Upgrade From 1 GHz to 2 GHz;MSO8000; 582 120 ? 
MSO8000-BW6T10;Bandwidth Upgrade From 600 MHz to 1 GHz;MSO8000; 411 796 ? 
MSO8000-BW6T20;Bandwidth Upgrade From 600 MHz to 2 GHz;MSO8000; 944 328 ? 
MSO8000-COMP;RS232/UART Analysis;MSO8000; 165 458 ? 
MSO8000-EMBD;I2C/SPI Analysis Option;MSO8000; 165 458 ? 
MSO8000-FLEX;FlexRay Option;MSO8000; 165 458 ? 
MSO8000-FPC;MSO8000 Front Panel Cover;MSO8000; 16 755 ? 
MSO8000-JITTER;Eye diagram and jitter;MSO8000; 165 458 ? 
MSO8000-PWR;Power Analysis;MSO8000; 165 458 ? 
MSO9000-AFG200;2-channel 200MHz function generator option;MSO9000; 182 213 ? 
MSO9000-BND;MSO9000 Series Function Upgrade Total Package Bundle Option,Includes AFG bandwidth option, all decoding options;MSO9000; 490 736 ? 
MSO9000-RLU-20;MSO9000 2Gpts Memory Depth Upgrade Option;MSO9000; 260 506 ? 
NFP-3;Near Field Probe,Frequency range: 30 MHz - 3 GHz.;DSA; 77 493 ? 
OCXO-B08;High Stable Reference Clock;DSG800; 94 248 ? 
OCXO-C08;High Stability Clock;RSA; 117 286 ? 
PA1011;10W Power Amplifier;10W Power Amplifier; 62 832 ? 
PCA1030;Current Probe: 50MHz, 30A;Digital Oscilloscope; 815 584 ? 
PCA1030B;50MHz, 30A Current Probe;Digital Oscilloscope; 624 624 ? 
PCA1150;Current Probe: 10MHz, 150A;Digital Oscilloscope; 983 136 ? 
PCA1500;2MHz, 500A Current Probe;Digital Oscilloscope; 1 182 720 ? 
PCA2030;Current Probe: 100MHz, 30A;Digital Oscilloscope; 1 066 912 ? 
PHA0150;High Voltage Differential Probe, DC-70 MHz, 1500 Vpp;Digital Oscilloscope; 119 381 ? 
PHA1150;High Voltage Differential Probe, DC-100 MHz, 1500 Vpp;Digital Oscilloscope; 148 702 ? 
